source,target,relation
chunk_ch1831,figure_fig_0205,CAPTIONS
chunk_ch1835,figure_fig_0206,CAPTIONS
chunk_ch1843,figure_fig_0208,CAPTIONS
chunk_ch1849,figure_fig_0209,CAPTIONS
chunk_ch1853,figure_fig_0210,CAPTIONS
chunk_ch1856,figure_fig_0211,CAPTIONS
chunk_ch1858,figure_fig_0212,CAPTIONS
chunk_ch1861,figure_fig_0213,CAPTIONS
chunk_ch1863,figure_fig_0214,CAPTIONS
chunk_ch1866,figure_fig_0215,CAPTIONS
chunk_ch2150,figure_fig_0216,CAPTIONS
chunk_ch2153,figure_fig_0217,CAPTIONS
chunk_ch2155,figure_fig_0218,CAPTIONS
chunk_ch2158,figure_fig_0219,CAPTIONS
chunk_ch2171,figure_fig_0220,CAPTIONS
